# sigma, d0, d1
1.089961295648871564e+00 -1.239275860937518958e+00 5.338939563642400854e-01
1.086756129614393052e+00 -1.241539273573377233e+00 5.348920799720005004e-01
1.083574733194919704e+00 -1.243793087366489969e+00 5.358860204077893208e-01
1.080416832749208078e+00 -1.246037368353925201e+00 5.368758059948628425e-01
1.077282158839667492e+00 -1.248272182007482245e+00 5.378614648200339410e-01
1.074170446152368008e+00 -1.250497593238686811e+00 5.388430247355999736e-01
1.071081433418793027e+00 -1.252713666403693304e+00 5.398205133613427353e-01
1.068014863339424414e+00 -1.254920465308225541e+00 5.407939580864387086e-01
1.064970482508973637e+00 -1.257118053212441744e+00 5.417633860714304861e-01
1.061948041343303784e+00 -1.259306492835767566e+00 5.427288242501738802e-01
1.058947294008031115e+00 -1.261485846361767083e+00 5.436902993317193067e-01
1.055967998348635195e+00 -1.263656175442900320e+00 5.446478378022637790e-01
1.053009915822151088e+00 -1.265817541205296326e+00 5.456014659270557177e-01
1.050072811430375674e+00 -1.267970004253495153e+00 5.465512097522791102e-01
1.047156453654521258e+00 -1.270113624675145880e+00 5.474970951069533243e-01
1.044260614391322894e+00 -1.272248462045693751e+00 5.484391476047902891e-01
1.041385068890491983e+00 -1.274374575432992041e+00 5.493773926461001933e-01
1.038529595693599150e+00 -1.276492023401948339e+00 5.503118554196024803e-01
1.035693976574231678e+00 -1.278600864019092453e+00 5.512425609042899133e-01
1.032877996479431904e+00 -1.280701154857102342e+00 5.521695338712813150e-01
1.030081443472438352e+00 -1.282792952999336489e+00 5.530927988856274569e-01
1.027304108676639016e+00 -1.284876315044320094e+00 5.540123803081167253e-01
1.024545786220642629e+00 -1.286951297110130010e+00 5.549283022971526202e-01
1.021806273184910685e+00 -1.289017954839078106e+00 5.558405888102126990e-01
1.019085369548728970e+00 -1.291076343401689641e+00 5.567492636061276423e-01
1.016382878138903489e+00 -1.293126517501161032e+00 5.576543502467142810e-01
1.013698604579772233e+00 -1.295168531377979271e+00 5.585558720981462777e-01
1.011032357243557112e+00 -1.297202438813908287e+00 5.594538523330669921e-01
1.008383947202162956e+00 -1.299228293136284851e+00 5.603483139322622542e-01
1.005753188179999258e+00 -1.301246147222298033e+00 5.612392796862937239e-01
1.003139896507674544e+00 -1.303256053503141221e+00 5.621267721972419418e-01
1.000543891076687952e+00 -1.305258063968159465e+00 5.630108138803990858e-01
9.979649932950221958e-01 -1.307252230168936213e+00 5.638914269659832668e-01
9.954030270437492778e-01 -1.309238603223430664e+00 5.647686335007338077e-01
9.928578186344199086e-01 -1.311217233819986117e+00 5.656424553496151031e-01
9.903291965504557037e-01 -1.313188172019428723e+00 5.665129142661610162e-01
9.878169922788186952e-01 -1.315151468071148910e+00 5.673800316175262592e-01
9.853210389538534786e-01 -1.317107171192163362e+00 5.682438288036064655e-01
9.828411722004919415e-01 -1.319055330392159719e+00 5.691043269785219794e-01
9.803772298740064395e-01 -1.320995994270970142e+00 5.699615471226852081e-01
9.779290520223383743e-01 -1.322929211022383811e+00 5.708155100443808028e-01
9.754964808492091466e-01 -1.324855028437951665e+00 5.716662363813557191e-01
9.730793606780082650e-01 -1.326773493910796464e+00 5.725137466023313415e-01
9.706775379163621320e-01 -1.328684654439347579e+00 5.733580610085674545e-01
9.682908610213561973e-01 -1.330588556631003616e+00 5.741991997354127797e-01
9.659191804655985480e-01 -1.332485246705892079e+00 5.750371827537715808e-01
9.635623487037876522e-01 -1.334374770500454499e+00 5.758720298716416552e-01
9.612202201400448232e-01 -1.336257173471084192e+00 5.767037607355938178e-01
9.588926510958348803e-01 -1.338132500697691851e+00 5.775323948322622636e-01
9.565794997785519449e-01 -1.340000796887270695e+00 5.783579514897814189e-01
9.542806262506884352e-01 -1.341862106377399444e+00 5.791804498792649802e-01
9.519958923996217903e-01 -1.343716473139728640e+00 5.799999090162374360e-01
